ID,Collection,ENS,Minting Date,Tx Count,Power
6946180,0xf7bb99c78b5f8dd5ac30df1b87f8eff1536e3100,sourdzl.eth,Fri Dec 22 2023 20:00:20 GMT+0100 (Central European Standard Time),1,19
6946179,0x3a71104cd980a2cc7dda67dec446c097362ba454,driade1.eth,Fri Dec 22 2023 19:59:10 GMT+0100 (Central European Standard Time),1,338
6946171,0x607981dce60bcb15a1816664b6720279ed85cd14,lamarche.eth,Fri Dec 22 2023 19:53:00 GMT+0100 (Central European Standard Time),1,29
6946147,0x05be06b424448052193d53db8955d246a8dbb98a,owenbarnes.eth,Fri Dec 22 2023 19:32:25 GMT+0100 (Central European Standard Time),1,35
6946115,0x8f37ed67014c38d5ebe794daa878b55a62e3ac76,,Fri Dec 22 2023 19:20:10 GMT+0100 (Central European Standard Time),1,100
6946031,0xe3665c89e0195246901c77423098ef2b379e43fb,,Fri Dec 22 2023 18:29:05 GMT+0100 (Central European Standard Time),1,39
6945970,0x23032a3d92d72a857eb4eb2d9ea417ff103a4008,blackicon.eth,Fri Dec 22 2023 18:14:10 GMT+0100 (Central European Standard Time),1,11
6945933,0x97585c8b56d2a6ed8841332ebe27036f600686a3,,Fri Dec 22 2023 17:45:05 GMT+0100 (Central European Standard Time),1,1
6945925,0x6e7b420cc69d093cdc3d7e8f6e1076123365e92a,,Fri Dec 22 2023 17:37:45 GMT+0100 (Central European Standard Time),1,21
6945911,0x57c2570f1a4228a3aeff4fe533826c2a04a2d52f,brettsun.eth,Fri Dec 22 2023 17:17:50 GMT+0100 (Central European Standard Time),1,6
6945904,0x225a0871fe471a294de1324213e7029a1f81978f,arredondo.eth,Fri Dec 22 2023 17:06:35 GMT+0100 (Central European Standard Time),1,46
6945898,0x9f26fe6c1c27715e49d0df923ff79de86d939cc6,,Fri Dec 22 2023 16:52:00 GMT+0100 (Central European Standard Time),1,26
6945887,0x787495e724eaae74927b51a3f322adf6e2aa42f2,,Fri Dec 22 2023 16:30:35 GMT+0100 (Central European Standard Time),1,23
6945883,0x248528f5a2c3731fb598e8cc1dc5db5f997e74bc,,Fri Dec 22 2023 16:20:55 GMT+0100 (Central European Standard Time),1,20
6945878,0x36de990133d36d7e3df9a820aa3ede5a2320de71,gokhan.eth,Fri Dec 22 2023 16:08:25 GMT+0100 (Central European Standard Time),1,37
6945875,0x413f9f014f62c4ad3a44bd8812d1990b2ce13fa2,,Fri Dec 22 2023 16:06:05 GMT+0100 (Central European Standard Time),1,13
6945870,0x747309c562c33b4c194f65e15c2d0d50bf0698c0,,Fri Dec 22 2023 16:02:20 GMT+0100 (Central European Standard Time),1,3
6945863,0x6281f95bd27c9d3ff9b72a4bd670554550c7de8f,,Fri Dec 22 2023 15:50:45 GMT+0100 (Central European Standard Time),1,1
